Number	English	Tw	Nd	Ke	WP	Bl	Ad	Kl	Ki	Ab	Km	Sw	We	pAP	
1	sky	bulan	hundus	bulung	gunnang	bulaŋ	la:b	buləgɛn	langin	ahalingtama	deling	ayaakani	ayakeng	-	
		0	1	0	2	0	3	4	5	6	7	8	9		
2	sun	war get	weri	kuwer	was	ved	fεd	mədi	ber	wari	wati	wadi	widí	*wad-i	
		0	0	4	1	0	0	2	3	0	0	0	0	0	
4	star	yif	ifahoya	ipalaq	hibbe	iid	i:b	ɪb	i bra	fir/fɪr	atoibaai	lawaala	apíkal	-	
		0	0	1	0	2	0	0	0	3	4	5	6		
5	cloud	menaaf	bunah	bənab	unnas	bənaw	la:b	"teʔeh, bɔntu"	tebes	tabo	wale	sakapulo	sakpul	-	
		0	1	2	3	4	5	6	7	8	9	10	10		
6	night	iqa'an	ilaqana	iqano	ir patta  (lit 'dark')	kəmalu	dil ʔuʔu	əkɑn	penen akana	tungtama	titla	iduni	maléng	-	
		0	0	0	1	2	3	0	0	4	5	6	7		
8	morning	bees	besi-besi	qanan	mabu	hurak wen	lalami	kunkun	nelebakan	fala:kda   	"wilkang, wilboko"	alikili	widíng le	-	
		0	0	1	2	3	4	5	6	7	8	9	10		
9	yesterday	miyaag	miyagi	miyag	waddipang	maléŋ	ʔu:mi	mleng	dona	tuwola	tunsama	apaali	mlénya 	-	
		0	0	0	1	2	3	2	7	4	5	6	2		
11	tomorrow	bas	batci	urung	dalla	tobaŋ	dilεlε	idil	angan	aˈkun	paisan	lalama	madali	-	
		0	0	2	3	4	5	6	7	8	9	10	11		
14	wind	qiau	angi	qeuw	dagéng	enar	ha:mi	nəmɛr	segel / ur maran	timoi	sumui	"lapooŋ 'wind', tamuro 'heavy wind'"	lapón	-	
		0	1	0	2	3	4	5	6	8	9	10	7		
14	wind	qiau	angi	qeuw	dagéng	enar	ha:mi	nəmɛr	segel / ur maran	timoi	sumui	"lapooŋ 'wind', tamuro 'heavy wind'"	lapón	-	
		0	1	0	2	3	4	5	6	8	9	7	7		
15	rain	xal	ala	ay	hayá	nuwar	nui	unuur	anor	anui	aii	ɑjaa	eiya mai	-	
		0	0	0	1	2	2	2	2	2	3	3	3		
16	rainbow	taf	sahi	souk	wali pakkung	aliyáʔ	haʔaboʔo	adub	ros eil	ho	waangkawaa	karang	suká'	-	
		0	1	2	3	4	5	6	7	8	9	10	11		
17	thunder	idilan	dalaga	id dugurung	di	lal	harib	medék	galagal	adii damalai dia	karaat	kɑdoorɑŋ	kete	-	
		0	1	2	3	4	5	6	7	8	9	10	11		
18	lightning	kii	iltama'aw	kii	ir mi'ar	bil məleylak		medék	blekin	ahalai/ahalai hai	deling wobika	mɪlaŋ	meke	-	
		0	1	0	2	3		4	5	6	7	8	9		
19	earthquake	itoyan	ila'ab	itiyoqung	tang abbang	"por ʔotaʔ, təwewer"	tai wεʔε	dai	kumé awar	taijoka	komee		komeidai	-	
		0	1	2	3	4	5	6	7	8	9		9		
21	mountain	muug	maga	bukuu	kukka	pondo	bIni	dɔl	dol	buku watika	buk	"potta, ataku-bubuŋ"	atoku bubung	-	
		0	0	2	3	4	5	6	6	1	8	7	7		
23	village	hafan	afang	aban	habbang	ábaŋ	"baŋ ʔεme (lit., 'old house')"	eben	abán	afɛŋ	mane	manaa	maná'	*haban	
		0	0	0	0	0	0	0	0	2	1	1	1	0	
24	land/soil	moxo'	talaka	maxa	mua	butuŋ	faʔai	məkɛʔ	palak	anai 	arung	ataku	atoku	-	
		0	1	2	3	4	5	2	6	7	8	9	9		
25	Earth	"iid, por 'island'"	qoka	par	por	por		bulya	bungun	buku	buk		(dunia)	-	
		0	1	0	6	0		2	3	7	8		5		
26	hole	ibaaq	yahal	yequ	bau	ilbor	boe	dok	sakola	lukula	sukuu	kadaar	kadár	-	
		0	1	2	3	3	3	4	5	6	7	8	8		
27	stone	war	wala	war	hauwe	var	fui	wɔr	wor	vi:	woi	wara	wor	*war	
		0	0	0	1	0	0	0	0	0	0	0	0	0	
28	water (fresh)	yir	yila	jiir	halia	jar	si	arɑ	eer	ye	ili	iria	irá	*yira	
		0	0	0	1	0	0	0	0	0	0	0	0	0	
29	river	bo'oi	balu	boi	kapá	mual	mOl	wɛr	mol	lu (foko)	ili ma’tang	ilu	ilú	-	
		0	1	0	2	3	4	5	3	6	7	8	8		
30	lake	bənaaq	traqa	"yir mogo, yir wad"	halia	-	Om	ərɑgɪtɪp	eer bal	wa: takata ‘lake that dries out quickly’	-	iria-kawaali	meria'	-	
		0	1	2	3		4	5	6	7		8	9		
31	coral (rock)	qoqas	batal	xoqís	katang	mənápa	ʔoʔoi fui	kokah	wor pak	vi: karafi	pusa		wor salár	-	
		0	1	0	2	3	8	0	4	5	6		7		
32	(coral) reef	tumu	qaera		lassang	tómu		muru tomu/mur tom	"tul ('karang darat'), agál ('karang laut')"	karafi	pusa	asingku	salár	-	
		0	1		2	0		0	3	4	5	6	7		
33	canoe	xai	he	ei	hai	je	ei	ɛi	ei	pelang	sipii	kaadaŋ	sipír	-	
		0	1	0	0	2	0	0	0	3	4	5	6		
35	fish trap	ker	car		"sar, pilang"	ker			saai	ˈtere	lokei		knopong	-	
		0	1		2	0			3	4	5		6		
