Number	English	Tw	Nd	Ke	WP	Bl	Ad	Kl	Ki	Ab	Km	Sw	We	pAP
1	sky	bulan	hundus	bulung	gunnang	bulaŋ	la:b	buləgɛn	langin	ahalingtama	deling	ayaakani	ayakeng	-
2	sun	war get	weri	kuwer	was	ved	fEd	mədi	ber	wari	wati	wadi	widí	*wad-i
3	moon	wur	hula	ur	hi	wuru	hu:l	ʊr	ur	ije	wui	pileaka	urák	*wur
4	star	yif	ifahoya	ipalaq	hibbe	iid	i:b	ɪb	i bra	fir/fɪr	atoibaai	lawaala	apíkal	-
5	cloud	menaaf	bunah	bənab	unnas	bənaw	la:b	"teʔeh, bɔntu"	tebes	tabo	wale	sakapulo	sakpul	-
6	night	iqa'an	ilaqana	iqano	ir patta  (lit 'dark')	kəmalu	dil ?u?u	əkɑn	penen akana	tungtama	titla	iduni	maléng	-
7	day	war	weri	uwer	"was, ana"	ved	dilElE  lit. 'all day'; /wEd saha/ 'midday' lit. 'hot sun'	mədi	belei	tadeng	watuu	wateeŋ	widí teng	
8	morning	bees	besi-besi	qanan	mabu	hurak wen	lalami	kunkun	nelebakan	fala:kda   	"wilkang, wilboko"	alikili	widíng le	-
9	yesterday	miyaag	miyagi	miyag	waddipang	maléŋ	?u:mi	mleng	dona	tuwola	tunsama	apaali	mlénya 	-
10	day before yesterday	gatraq	gətraku	getraxo	yenarpang	edaŋ áru 	?otariN alumi		atain yok		-		gaténg yoku	
11	tomorrow	bas	batci	urung	dalla	tobaŋ	dilElE	idil	angan	aˈkun	paisan	lalama	madali	-
12	day after tomorrow	ti'iraq	gətagu	təraxo	tialaku	tiaŋ aru	a:lu		ayoka	ayoku	-		yal yoku	
13	"twilight, dawn"	besbes		qanang-qana	mabu	bil jaraʔabuŋ	"lalami (lit, 'early morning')"		sei amai	arii dape	tafeeng		mi widíng le	
14	wind	qiau	angi	qeuw	dagéng	enar	ha:mi	nəmɛr	segel / ur maran	timoi	sumui	"lapooŋ 'wind', tamuro 'heavy wind'"	lapón	-
14	wind	qiau	angi	qeuw	dagéng	enar	ha:mi	nəmɛr	segel / ur maran	timoi	sumui	"lapooŋ 'wind', tamuro 'heavy wind'"	lapón	-
15	rain	xal	ala	ay	hayá	nuwar	nui	unuur	anor	anui	aii	ɑjaa	eiya mai	-
16	rainbow	taf	sahi	souk	wali pakkung	aliyáʔ	ha?abo?o	adub	ros eil	ho	waangkawaa	karang	suká'	-
17	thunder	idilan	dalaga	id dugurung	di	lal	harib	medék	galagal	adii damalai dia	karaat	kɑdoorɑŋ	kete	-
18	lightning	kii	iltama'aw	kii	ir mi'ar	bil məleylak		medék	blekin	ahalai/ahalai hai	deling wobika	mɪlaŋ	meke	-
19	earthquake	itoyan	ila'ab	itiyoqung	tang abbang	"por ʔotaʔ, təwewer"	tai wE?E	dai	kumé awar	taijoka	komee		komeidai	-
20	fog	manaaf	buna ituru/ila banaqa	bənab	bunne	bil moró/məró	lowo tawe?EN 'fog just before the rain'	bontui	tabo	tabeki:	safuu	sakapullo	sákapul	
21	mountain	muug	maga	bukuu	kukka	pondo	bIni	dɔl	dol	buku watika	buk	"potta, ataku-bubuŋ"	atoku bubung	-
22	ridge				mugang	"pondo blolu (lit., ‘high mountain’)"	tabu?u		dera	watika	mana		atoku bubung	
23	village	hafan	afang	aban	habbang	ábaŋ	"baN ?Eme (lit., 'old house')"	eben	abán	afɛŋ	mane	manaa	maná'	*haban
24	land/soil	moxo'	talaka	maxa	mua	butuŋ	fa?ai	məkɛʔ	palak	anai 	arung	ataku	atoku	-
25	Earth	"iid, por 'island'"	qoka	par	por	por		bulya	bungun	buku	buk		(dunia)	-
26	hole	ibaaq	yahal	yequ	bau	ilbor	boe	dok	sakola	lukula	sukuu	kadaar	kadár	-
27	stone	war	wala	war	hauwe	var	fui	wɔr	wor	vi:	woi	wara	wor	*war
28	water (fresh)	yir	yila	jiir	halia	jar	si	arɑ	eer	ye	ili	iria	irá	*yira
